Date,Date_new,year_new,month_new,day_new,Type,Link
18-10-2022,2022-10-18,2022,10,18,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6987757006627495936"
14-10-2022,2022-10-14,2022,10,14,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6986304732466167808"
12-10-2022,2022-10-12,2022,10,12,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6984420215602233344"
12-10-2022,2022-10-12,2022,10,12,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6985481925549322241"
11-10-2022,2022-10-11,2022,10,11,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6985606712720322560"
11-10-2022,2022-10-11,2022,10,11,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6984726452374024192"
11-10-2022,2022-10-11,2022,10,11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6984008056355319808?commentUrn=urn%3Ali%3
09-10-2022,2022-10-09,2022,10,9,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6984811423176511488"
08-10-2022,2022-10-08,2022,10,8,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6984409944234053632"
08-10-2022,2022-10-08,2022,10,8,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6982436192298446848"
08-10-2022,2022-10-08,2022,10,8,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6984233034967375872"
07-10-2022,2022-10-07,2022,10,7,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6983310674412154881"
07-10-2022,2022-10-07,2022,10,7,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6979543839107629056"
07-10-2022,2022-10-07,2022,10,7,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6980603131394945024"
07-10-2022,2022-10-07,2022,10,7,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6983895809478078465"
06-10-2022,2022-10-06,2022,10,6,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6983415764896632832"
05-10-2022,2022-10-05,2022,10,5,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6983272474964582400"
03-10-2022,2022-10-03,2022,10,3,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6982666896558972928"
03-10-2022,2022-10-03,2022,10,3,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6981863344420843520"
02-10-2022,2022-10-02,2022,10,2,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6982247321593946112"
01-10-2022,2022-10-01,2022,10,1,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6981649649782665216"
27-09-2022,2022-09-27,2022,9,27,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6980205628967325696"
24-09-2022,2022-09-24,2022,9,24,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6979407860191358976"
24-09-2022,2022-09-24,2022,9,24,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6979338059204952064"
24-09-2022,2022-09-24,2022,9,24,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6974549679548084226"
24-09-2022,2022-09-24,2022,9,24,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6977963428258729984"
22-09-2022,2022-09-22,2022,9,22,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6978569679883657216"
22-09-2022,2022-09-22,2022,9,22,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6978320542227419137"
20-09-2022,2022-09-20,2022,9,20,INTEREST,"https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6977078476600168448"
20-09-2022,2022-09-20,2022,9,20,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6977524965076025344"
20-09-2022,2022-09-20,2022,9,20,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6965195067598790656"
20-09-2022,2022-09-20,2022,9,20,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6977609130245046272"
18-09-2022,2022-09-18,2022,9,18,LIKE,"https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6977188887869739008"
